day,dayOfWeek,postLength,mediaType,postingTime,impressions
11,Wednesday,750,image,evening,32319
12,Thursday,750,image,evening,5593
13,Friday,750,image,evening,11587
14,Saturday,750,image,evening,12415
15,Sunday,750,image,evening,27063
16,Monday,750,image,evening,49275
17,Tuesday,750,image,evening,52353
18,Wednesday,750,image,evening,42093
19,Thursday,750,image,evening,26325
20,Friday,750,image,evening,56709
21,Saturday,750,image,evening,44010
22,Sunday,750,image,evening,84235
23,Monday,750,image,evening,107550
24,Tuesday,750,image,evening,41485
25,Wednesday,750,image,evening,51111
26,Thursday,750,image,evening,4941
27,Friday,750,image,evening,74502
28,Saturday,750,image,evening,140935
29,Sunday,750,image,evening,14440
30,Monday,750,image,evening,49549
1,Sunday,750,image,evening,3312
2,Monday,750,image,evening,14863
3,Tuesday,750,image,evening,14220
4,Wednesday,750,image,evening,11236
5,Thursday,750,image,evening,43398
6,Friday,750,image,evening,4293
7,Saturday,750,image,evening,56700
8,Sunday,750,image,evening,50976
9,Monday,750,image,evening,65727
10,Tuesday,750,image,evening,38673
11,Wednesday,750,image,evening,2425
12,Thursday,750,image,evening,68476
13,Friday,750,image,evening,4072
14,Saturday,750,image,evening,20929
15,Sunday,750,image,evening,6619
16,Monday,750,image,evening,210339
17,Tuesday,750,image,evening,2020
18,Wednesday,750,image,evening,30424
19,Thursday,750,image,evening,17896
20,Friday,750,image,evening,40279
21,Saturday,750,image,evening,123106
22,Sunday,750,image,evening,6682
23,Monday,750,image,evening,193437
24,Tuesday,750,image,evening,23247
25,Wednesday,750,image,evening,145647
26,Thursday,750,image,evening,13626
27,Friday,750,image,evening,30051
28,Saturday,750,image,evening,28120
29,Sunday,750,image,evening,7960
30,Monday,750,image,evening,3636
1,Sunday,750,image,evening,136147
2,Monday,750,image,evening,109255
3,Tuesday,750,image,evening,136386
4,Wednesday,750,image,evening,9702
5,Thursday,750,image,evening,63495
6,Friday,750,image,evening,87462
7,Saturday,750,image,evening,29664
8,Sunday,750,image,evening,43965
9,Monday,750,image,evening,1053
10,Tuesday,750,image,evening,12370
11,Wednesday,750,image,evening,56223
12,Thursday,750,image,evening,84964
13,Friday,750,image,evening,64071
14,Saturday,750,image,evening,49594
15,Sunday,750,image,evening,15939
16,Monday,750,image,evening,29034
17,Tuesday,750,image,evening,182412
18,Wednesday,750,image,evening,3721
19,Thursday,750,image,evening,3604
20,Friday,750,image,evening,28413
21,Saturday,750,image,evening,25632
22,Sunday,750,image,evening,18112
23,Monday,750,image,evening,56749
24,Tuesday,750,image,evening,29061
25,Wednesday,750,image,evening,14395
26,Thursday,750,image,evening,17856
27,Friday,750,image,evening,14778
28,Saturday,750,image,evening,35316
29,Sunday,750,image,evening,30901
30,Monday,750,image,evening,41323
1,Sunday,750,image,evening,44347
2,Monday,750,image,evening,7627
3,Tuesday,750,image,evening,90598
4,Wednesday,750,image,evening,11731
5,Thursday,750,image,evening,81076
6,Friday,750,image,evening,90139
7,Saturday,750,image,evening,19147
8,Sunday,750,image,evening,414
9,Monday,750,image,evening,28908
10,Tuesday,750,image,evening,4554
11,Wednesday,750,image,evening,132021
12,Thursday,750,image,evening,79560
13,Friday,750,image,evening,22639
14,Saturday,750,image,evening,49189
15,Sunday,750,image,evening,57870
16,Monday,750,image,evening,9567
17,Tuesday,750,image,evening,60925
18,Wednesday,750,image,evening,95652
19,Thursday,750,image,evening,13288
20,Friday,750,image,evening,73768
21,Saturday,750,image,evening,121995
22,Sunday,750,image,evening,22396
23,Monday,750,image,evening,29043
24,Tuesday,750,image,evening,225
25,Wednesday,750,image,evening,44181
26,Thursday,750,image,evening,9346
27,Friday,750,image,evening,5053
28,Saturday,750,image,evening,276574
29,Sunday,750,image,evening,4149
30,Monday,750,image,evening,65218
1,Sunday,750,image,evening,3222
2,Monday,750,image,evening,11124
3,Tuesday,750,image,evening,3429
4,Wednesday,750,image,evening,24196
5,Thursday,750,image,evening,18004
6,Friday,750,image,evening,19651
7,Saturday,750,image,evening,59652
8,Sunday,750,image,evening,67099
9,Monday,750,image,evening,37026
10,Tuesday,750,image,evening,12118
11,Wednesday,750,image,evening,87822
12,Thursday,750,image,evening,17257
13,Friday,750,image,evening,50494
14,Saturday,750,image,evening,68202
15,Sunday,750,image,evening,20250
16,Monday,750,image,evening,71761
17,Tuesday,750,image,evening,70587
18,Wednesday,750,image,evening,49248
19,Thursday,750,image,evening,30375
20,Friday,750,image,evening,12496
21,Saturday,750,image,evening,11497
22,Sunday,750,image,evening,136845
23,Monday,750,image,evening,31387
24,Tuesday,750,image,evening,9679
25,Wednesday,750,image,evening,33817
26,Thursday,750,image,evening,36499
27,Friday,750,image,evening,2146
28,Saturday,750,image,evening,23332
29,Sunday,750,image,evening,16407
30,Monday,750,image,evening,11047
1,Sunday,1000,image,morning,330
2,Monday,1000,image,morning,68577
3,Tuesday,1000,image,morning,624
4,Wednesday,1000,image,morning,63543
5,Thursday,1000,image,morning,1080
6,Friday,1000,image,morning,27840
7,Saturday,1000,image,morning,18783
8,Sunday,1000,image,morning,1671
9,Monday,1000,image,morning,5538
10,Tuesday,1000,image,morning,23262
11,Wednesday,1000,image,morning,21909
12,Thursday,1000,image,morning,62037
13,Friday,1000,image,morning,15930
14,Saturday,1000,image,morning,26892
15,Sunday,1000,image,morning,17145
16,Monday,1000,image,morning,42426
17,Tuesday,1000,image,morning,4581
18,Wednesday,1000,image,morning,9819
19,Thursday,1000,image,morning,19422
20,Friday,1000,image,morning,75975
21,Saturday,1000,image,morning,20805
22,Sunday,1000,image,morning,16755
23,Monday,1000,image,morning,32397
24,Tuesday,1000,image,morning,121938
25,Wednesday,1000,image,morning,11196
26,Thursday,1000,image,morning,12537
27,Friday,1000,image,morning,5514
28,Saturday,1000,image,morning,18432
29,Sunday,1000,image,morning,18723
30,Monday,1000,image,morning,1467
1,Sunday,1000,image,morning,48483
2,Monday,1000,image,morning,8688
3,Tuesday,1000,image,morning,67002
4,Wednesday,1000,image,morning,61362
5,Thursday,1000,image,morning,78
6,Friday,1000,image,morning,59079
7,Saturday,1000,image,morning,51438
8,Sunday,1000,image,morning,9534
9,Monday,1000,image,morning,13887
10,Tuesday,1000,image,morning,44382
11,Wednesday,1000,image,morning,108045
12,Thursday,1000,image,morning,33210
13,Friday,1000,image,morning,2106
14,Saturday,1000,image,morning,990
15,Sunday,1000,image,morning,7125
16,Monday,1000,image,morning,32196
17,Tuesday,1000,image,morning,96153
18,Wednesday,1000,image,morning,19962
19,Thursday,1000,image,morning,8775
20,Friday,1000,image,morning,30054
21,Saturday,1000,image,morning,11637
22,Sunday,1000,image,morning,12276
23,Monday,1000,image,morning,57081
24,Tuesday,1000,image,morning,5586
25,Wednesday,1000,image,morning,70017
26,Thursday,1000,image,morning,17061
27,Friday,1000,image,morning,42366
28,Saturday,1000,image,morning,24633
29,Sunday,1000,image,morning,57240
30,Monday,1000,image,morning,6669
1,Sunday,1000,image,morning,1305
2,Monday,1000,image,morning,44007
3,Tuesday,1000,image,morning,1065
4,Wednesday,1000,image,morning,12732
5,Thursday,1000,image,morning,327
6,Friday,1000,image,morning,34086
7,Saturday,1000,image,morning,42684
8,Sunday,1000,image,morning,16923
9,Monday,1000,image,morning,38733
10,Tuesday,1000,image,morning,25785
11,Wednesday,1000,image,morning,62415
12,Thursday,1000,image,morning,30756
13,Friday,1000,image,morning,30438
14,Saturday,1000,image,morning,71880
15,Sunday,1000,image,morning,14079
16,Monday,1000,image,morning,47448
17,Tuesday,1000,image,morning,37563
18,Wednesday,1000,image,morning,15372
19,Thursday,1000,image,morning,28608
20,Friday,1000,image,morning,50604
21,Saturday,1000,image,morning,29475
22,Sunday,1000,image,morning,20358
23,Monday,1000,image,morning,59364
24,Tuesday,1000,image,morning,6942
25,Wednesday,1000,image,morning,44193
26,Thursday,1000,image,morning,39345
27,Friday,1000,image,morning,86076
28,Saturday,1000,image,morning,7857
29,Sunday,1000,image,morning,8898
30,Monday,1000,image,morning,48702
1,Sunday,1500,image,evening,42367
2,Monday,1500,image,evening,14998
3,Tuesday,1500,image,evening,22743
4,Wednesday,1500,image,evening,64044
5,Thursday,1500,image,evening,11754
6,Friday,1500,image,evening,320283
7,Saturday,1500,image,evening,44473
8,Sunday,1500,image,evening,2542
9,Monday,1500,image,evening,24867
10,Tuesday,1500,image,evening,657
11,Wednesday,1500,image,evening,249097
12,Thursday,1500,image,evening,6201
13,Friday,1500,image,evening,195570
14,Saturday,1500,image,evening,105156
15,Sunday,1500,image,evening,8082
16,Monday,1500,image,evening,75987
17,Tuesday,1500,image,evening,93127
18,Wednesday,1500,image,evening,80037
19,Thursday,1500,image,evening,92146
20,Friday,1500,image,evening,39762
21,Saturday,1500,image,evening,83020
22,Sunday,1500,image,evening,182686
23,Monday,1500,image,evening,18621
24,Tuesday,1500,image,evening,116932
25,Wednesday,1500,image,evening,32854
26,Thursday,1500,image,evening,12843
27,Friday,1500,image,evening,54301
28,Saturday,1500,image,evening,21019
29,Sunday,1500,image,evening,205038
30,Monday,1500,image,evening,10728
1,Sunday,1000,image,morning,20487
2,Monday,1000,image,morning,46914
3,Tuesday,1000,image,morning,55842
4,Wednesday,1000,image,morning,83385
5,Thursday,1000,image,morning,62523
6,Friday,1000,image,morning,6480
7,Saturday,1000,image,morning,30951
8,Sunday,1000,image,morning,67062
9,Monday,1000,image,morning,29493
10,Tuesday,1000,image,morning,89592
11,Wednesday,1000,image,morning,4011
12,Thursday,1000,image,morning,14064
13,Friday,1000,image,morning,61635
14,Saturday,1000,image,morning,7764
15,Sunday,1000,image,morning,5265
16,Monday,1000,image,morning,6060
17,Tuesday,1000,image,morning,6354
18,Wednesday,1000,image,morning,1014
19,Thursday,1000,image,morning,19206
20,Friday,1000,image,morning,18669
21,Saturday,1000,image,morning,3054
22,Sunday,1000,image,morning,4245
23,Monday,1000,image,morning,23238
24,Tuesday,1000,image,morning,23031
25,Wednesday,1000,image,morning,6135
26,Thursday,1000,image,morning,6963
27,Friday,1000,image,morning,14268
28,Saturday,1000,image,morning,2820
29,Sunday,1000,image,morning,7062
30,Monday,1000,image,morning,31656
1,Sunday,1000,image,morning,42213
2,Monday,1000,image,morning,54849
3,Tuesday,1000,image,morning,21570
4,Wednesday,1000,image,morning,11184
5,Thursday,1000,image,morning,48828
6,Friday,1000,image,morning,21369
7,Saturday,1000,image,morning,2460
8,Sunday,1000,image,morning,49992
9,Monday,1000,image,morning,46131
10,Tuesday,1000,image,morning,5253
11,Wednesday,1000,image,morning,8247
12,Thursday,1000,image,morning,49689
13,Friday,1000,image,morning,14295
14,Saturday,1000,image,morning,6597
15,Sunday,1000,image,morning,65766
16,Monday,1000,image,morning,12222
17,Tuesday,1000,image,morning,78522
18,Wednesday,1000,image,morning,26301
19,Thursday,1000,image,morning,6984
20,Friday,1000,image,morning,4218
21,Saturday,1000,image,morning,4680
22,Sunday,1000,image,morning,6951
23,Monday,1000,image,morning,37386
24,Tuesday,1000,image,morning,40743
25,Wednesday,1000,image,morning,41181
26,Thursday,1000,image,morning,12519
27,Friday,1000,image,morning,5418
28,Saturday,1000,image,morning,23811
29,Sunday,1000,image,morning,330
30,Monday,1000,image,morning,22632
1,Sunday,1000,image,morning,58602
2,Monday,1000,image,morning,46416
3,Tuesday,1000,image,morning,29649
4,Wednesday,1000,image,morning,37128
5,Thursday,1000,image,morning,5526
6,Friday,1000,image,morning,26982
7,Saturday,1000,image,morning,609
8,Sunday,1000,image,morning,19653
9,Monday,1000,image,morning,17967
10,Tuesday,1000,image,morning,58425
11,Wednesday,1000,image,morning,28380
12,Thursday,1000,image,morning,94038
13,Friday,1000,image,morning,1647
14,Saturday,1000,image,morning,33825
15,Sunday,1000,image,morning,80175
16,Monday,1000,image,morning,72123
17,Tuesday,1000,image,morning,48225
18,Wednesday,1000,image,morning,7140
19,Thursday,1000,image,morning,15069
20,Friday,1000,image,morning,72384
21,Saturday,1000,image,morning,23172
22,Sunday,1000,image,morning,17295
23,Monday,1000,image,morning,9855
24,Tuesday,1000,image,morning,17064
25,Wednesday,1000,image,morning,96957
26,Thursday,1000,image,morning,18060
27,Friday,1000,image,morning,4500
28,Saturday,1000,image,morning,59343
29,Sunday,1000,image,morning,219237
30,Monday,1000,image,morning,52932
1,Sunday,1000,image,morning,7068
2,Monday,1000,image,morning,75882
3,Tuesday,1000,image,morning,6183
4,Wednesday,1000,image,morning,10074
5,Thursday,1000,image,morning,8001
6,Friday,1000,image,morning,5529
7,Saturday,1000,image,morning,822
8,Sunday,1000,image,morning,22326
9,Monday,1000,image,morning,31914
10,Tuesday,1000,image,morning,35199
11,Wednesday,1000,image,morning,17463
12,Thursday,1000,image,morning,57972
13,Friday,1000,image,morning,50979
14,Saturday,1000,image,morning,13890
15,Sunday,1000,image,morning,34995
16,Monday,1000,image,morning,30777
17,Tuesday,1000,image,morning,152262
18,Wednesday,1000,image,morning,13962
19,Thursday,1000,image,morning,6408
20,Friday,1000,image,morning,2763
21,Saturday,1000,image,morning,12657
22,Sunday,1000,image,morning,2577
23,Monday,1000,image,morning,14859
24,Tuesday,1000,image,morning,68055
25,Wednesday,1000,image,morning,10098
26,Thursday,1000,image,morning,38190
27,Friday,1000,image,morning,13311
28,Saturday,1000,image,morning,36258
29,Sunday,1000,image,morning,35289
30,Monday,1000,image,morning,17223
1,Sunday,1000,image,morning,183846
2,Monday,1000,image,morning,16407
3,Tuesday,1000,image,morning,9267
4,Wednesday,1000,image,morning,13719
5,Thursday,1000,image,morning,14982
6,Friday,1000,image,morning,40716
7,Saturday,1000,image,morning,27600
8,Sunday,1000,image,morning,26019
9,Monday,1000,image,morning,21372
10,Tuesday,1000,image,morning,32703
11,Wednesday,1000,image,morning,101286
12,Thursday,1000,image,morning,15396
13,Friday,1000,image,morning,7278
14,Saturday,1000,image,morning,61752
15,Sunday,1000,image,morning,59367
16,Monday,1000,image,morning,7161
17,Tuesday,1000,image,morning,29070
18,Wednesday,1000,image,morning,5364
19,Thursday,1000,image,morning,43854
20,Friday,1000,image,morning,40251
21,Saturday,1000,image,morning,15606
22,Sunday,1000,image,morning,36051
23,Monday,1000,image,morning,24444
24,Tuesday,1000,image,morning,45201
25,Wednesday,1000,image,morning,16047
26,Thursday,1000,image,morning,83115
27,Friday,1000,image,morning,33444
28,Saturday,1000,image,morning,4392
29,Sunday,1000,image,morning,48405
30,Monday,1000,image,morning,24207
1,Sunday,1000,image,morning,17175
2,Monday,1000,image,morning,15120
3,Tuesday,1000,image,morning,2271
4,Wednesday,1000,image,morning,54915
5,Thursday,1000,image,morning,3507
6,Friday,1000,image,morning,80649
7,Saturday,1000,image,morning,1506
8,Sunday,1000,image,morning,6021
9,Monday,1000,image,morning,33894
10,Tuesday,1000,image,morning,7521
11,Wednesday,1000,image,morning,41274
12,Thursday,1000,image,morning,3297
13,Friday,1000,image,morning,28185
14,Saturday,1000,image,morning,52860
15,Sunday,1000,image,morning,55266
16,Monday,1000,image,morning,33546
17,Tuesday,1000,image,morning,41430
18,Wednesday,1000,image,morning,1461
19,Thursday,1000,image,morning,29715
20,Friday,1000,image,morning,3918
21,Saturday,1000,image,morning,1650
22,Sunday,1000,image,morning,45387
23,Monday,1000,image,morning,5166
24,Tuesday,1000,image,morning,60174
25,Wednesday,1000,image,morning,25236
26,Thursday,1000,image,morning,1596
27,Friday,1000,image,morning,15231
28,Saturday,1000,image,morning,20661
29,Sunday,1000,image,morning,14688
30,Monday,1000,image,morning,26310
1,Sunday,1000,image,morning,2625
2,Monday,1000,image,morning,25335
3,Tuesday,1000,image,morning,62067
4,Wednesday,1000,image,morning,75459
5,Thursday,1000,image,morning,5115
6,Friday,1000,image,morning,17385
7,Saturday,1000,image,morning,13659
8,Sunday,1000,image,morning,34206
9,Monday,1000,image,morning,170979
10,Tuesday,1000,image,morning,49746
11,Wednesday,1000,image,morning,11427
12,Thursday,1000,image,morning,5070
13,Friday,1000,image,morning,8115
14,Saturday,1000,image,morning,46923
15,Sunday,1000,image,morning,16914
16,Monday,1000,image,morning,18024
17,Tuesday,1000,image,morning,4914
18,Wednesday,1000,image,morning,1752
19,Thursday,1000,image,morning,40035
20,Friday,1000,image,morning,24591
21,Saturday,1000,image,morning,32457
22,Sunday,1000,image,morning,5118
23,Monday,1000,image,morning,80109
24,Tuesday,1000,image,morning,14751
25,Wednesday,1000,image,morning,15705
26,Thursday,1000,image,morning,9171
27,Friday,1000,image,morning,23829
28,Saturday,1000,image,morning,19854
29,Sunday,1000,image,morning,252
30,Monday,1000,image,morning,24570
1,Sunday,1000,image,morning,1323
2,Monday,1000,image,morning,16761
3,Tuesday,1000,image,morning,5403
4,Wednesday,1000,image,morning,142665
5,Thursday,1000,image,morning,15480
6,Friday,1000,image,morning,97869
7,Saturday,1000,image,morning,1053
8,Sunday,1000,image,morning,35457
9,Monday,1000,image,morning,15999
10,Tuesday,1000,image,morning,34380
11,Wednesday,1000,image,morning,9684
12,Thursday,1000,image,morning,18708
13,Friday,1000,image,morning,9159
14,Saturday,1000,image,morning,33438
15,Sunday,1000,image,morning,30609
16,Monday,1000,image,morning,6270
17,Tuesday,1000,image,morning,82581
18,Wednesday,1000,image,morning,22218
19,Thursday,1000,image,morning,52065
20,Friday,1000,image,morning,7953
21,Saturday,1000,image,morning,279
22,Sunday,1000,image,morning,27060
23,Monday,1000,image,morning,27573
24,Tuesday,1000,image,morning,1881
25,Wednesday,1000,image,morning,5898
26,Thursday,1000,image,morning,945
27,Friday,1000,image,morning,145986
28,Saturday,1000,image,morning,681
29,Sunday,1000,image,morning,39570
30,Monday,1000,image,morning,46122
1,Sunday,1000,image,morning,19473
2,Monday,1000,image,morning,74565
3,Tuesday,1000,image,morning,63912
4,Wednesday,1000,image,morning,74283
5,Thursday,1000,image,morning,23481
6,Friday,1000,image,morning,29703
7,Saturday,1000,image,morning,78723
8,Sunday,1000,image,morning,16740
9,Monday,1000,image,morning,28302
10,Tuesday,1000,image,morning,68388
11,Wednesday,1000,image,morning,70179
12,Thursday,1000,image,morning,9483
13,Friday,1000,image,morning,2451
14,Saturday,1000,image,morning,15399
15,Sunday,1000,image,morning,55032
16,Monday,1000,image,morning,34596
17,Tuesday,1000,image,morning,89535
18,Wednesday,1000,image,morning,35433
19,Thursday,1000,image,morning,22776
20,Friday,1000,image,morning,2781
21,Saturday,1000,image,morning,567
22,Sunday,1000,image,morning,27882
23,Monday,1000,image,morning,2262
24,Tuesday,1000,image,morning,64983
25,Wednesday,1000,image,morning,87708
26,Thursday,1000,image,morning,15438
27,Friday,1000,image,morning,97158
28,Saturday,1000,image,morning,22569
29,Sunday,1000,image,morning,5865
30,Monday,1000,image,morning,14781
1,Sunday,1000,image,morning,27246
2,Monday,1000,image,morning,10746
3,Tuesday,1000,image,morning,122136
4,Wednesday,1000,image,morning,29559
5,Thursday,1000,image,morning,17826
6,Friday,1000,image,morning,31272
7,Saturday,1000,image,morning,17430
8,Sunday,1000,image,morning,7152
9,Monday,1000,image,morning,630
10,Tuesday,1000,image,morning,90378
11,Wednesday,1000,image,morning,84123
12,Thursday,1000,image,morning,55308
13,Friday,1000,image,morning,11217
14,Saturday,1000,image,morning,28911
15,Sunday,1000,image,morning,53379
16,Monday,1000,image,morning,59421
17,Tuesday,1000,image,morning,1305
18,Wednesday,1000,image,morning,49152
19,Thursday,1000,image,morning,23097
20,Friday,1000,image,morning,6213
21,Saturday,1000,image,morning,4146
22,Sunday,1000,image,morning,40641
23,Monday,1000,image,morning,72273
24,Tuesday,1000,image,morning,7587
25,Wednesday,1000,image,morning,49848
26,Thursday,1000,image,morning,33978
27,Friday,1000,image,morning,132375
28,Saturday,1000,image,morning,29301
29,Sunday,1000,image,morning,24009
30,Monday,1000,image,morning,31233
1,Sunday,1500,image,evening,5265
2,Monday,1500,image,evening,36373
3,Tuesday,1500,image,evening,57699
4,Wednesday,1500,image,evening,11412
5,Thursday,1500,image,evening,13900
6,Friday,1500,image,evening,32076
7,Saturday,1500,image,evening,91323
8,Sunday,1500,image,evening,68431
9,Monday,1500,image,evening,13527
10,Tuesday,1500,image,evening,16002
11,Wednesday,1500,image,evening,26374
12,Thursday,1500,image,evening,3006
13,Friday,1500,image,evening,391
14,Saturday,1500,image,evening,25150
15,Sunday,1500,image,evening,40216
16,Monday,1500,image,evening,72850
17,Tuesday,1500,image,evening,2250
18,Wednesday,1500,image,evening,5377
19,Thursday,1500,image,evening,174852
20,Friday,1500,image,evening,30456
21,Saturday,1500,image,evening,64332
22,Sunday,1500,image,evening,14454
23,Monday,1500,image,evening,84627
24,Tuesday,1500,image,evening,42390
25,Wednesday,1500,image,evening,36099
26,Thursday,1500,image,evening,89964
27,Friday,1500,image,evening,87088
28,Saturday,1500,image,evening,27630
29,Sunday,1500,image,evening,652
30,Monday,1500,image,evening,50409
1,Sunday,1000,image,morning,38172
2,Monday,1000,image,morning,2541
3,Tuesday,1000,image,morning,7839
4,Wednesday,1000,image,morning,13302
5,Thursday,1000,image,morning,20781
6,Friday,1000,image,morning,11550
7,Saturday,1000,image,morning,52065
8,Sunday,1000,image,morning,1386
9,Monday,1000,image,morning,6339
10,Tuesday,1000,image,morning,34386
11,Wednesday,1000,image,morning,12213
12,Thursday,1000,image,morning,6108
13,Friday,1000,image,morning,14607
14,Saturday,1000,image,morning,29937
15,Sunday,1000,image,morning,22014
16,Monday,1000,image,morning,369
17,Tuesday,1000,image,morning,8427
18,Wednesday,1000,image,morning,48267
19,Thursday,1000,image,morning,10326
20,Friday,1000,image,morning,41487
21,Saturday,1000,image,morning,3423
22,Sunday,1000,image,morning,3591
23,Monday,1000,image,morning,85908
24,Tuesday,1000,image,morning,6360
25,Wednesday,1000,image,morning,3927
26,Thursday,1000,image,morning,21261
27,Friday,1000,image,morning,49644
28,Saturday,1000,image,morning,44760
29,Sunday,1000,image,morning,23925
30,Monday,1000,image,morning,100809
1,Sunday,1000,image,morning,65889
2,Monday,1000,image,morning,6180
3,Tuesday,1000,image,morning,5376
4,Wednesday,1000,image,morning,26163
5,Thursday,1000,image,morning,5064
6,Friday,1000,image,morning,18135
7,Saturday,1000,image,morning,33912
8,Sunday,1000,image,morning,1035
9,Monday,1000,image,morning,1887
10,Tuesday,1000,image,morning,61083
11,Wednesday,1000,image,morning,885
12,Thursday,1000,image,morning,34158
13,Friday,1000,image,morning,549
14,Saturday,1000,image,morning,22977
15,Sunday,1000,image,morning,2286
16,Monday,1000,image,morning,2703
17,Tuesday,1000,image,morning,11256
18,Wednesday,1000,image,morning,99975
19,Thursday,1000,image,morning,9996
20,Friday,1000,image,morning,21663
21,Saturday,1000,image,morning,3987
22,Sunday,1000,image,morning,69837
23,Monday,1000,image,morning,48390
24,Tuesday,1000,image,morning,8709
25,Wednesday,1000,image,morning,62079
26,Thursday,1000,image,morning,6849
27,Friday,1000,image,morning,10776
28,Saturday,1000,image,morning,5742
29,Sunday,1000,image,morning,51654
30,Monday,1000,image,morning,3615
1,Sunday,1000,image,afternoon,43596
2,Monday,1000,image,afternoon,417
3,Tuesday,1000,image,afternoon,64828
4,Wednesday,1000,image,afternoon,4406
5,Thursday,1000,image,afternoon,24915
